,channel_name,subscribers,title,views,post_date,channel_join_date,channel_views,channel_description
0,iJustine,6.89M subscribers,Black Eyed Peas - I gotta Feeling (Parody),18M views,11 years ago,,,
1,iJustine,6.89M subscribers,Cake Decorating Challenge with Ro | Nerdy Nummies | iJustine,12M views,5 years ago,,,
2,iJustine,6.89M subscribers,The Voice of Siri!,11M views,5 years ago,,,
3,iJustine,6.89M subscribers,Ugliest iPhone Cases Ever?,9.4M views,3 years ago,,,
4,iJustine,6.89M subscribers,Making a mini cake with Ro!,9.1M views,3 years ago,,,
5,iJustine,6.89M subscribers,Kesha - Tik Tok (Parody),9M views,11 years ago,,,
6,iJustine,6.89M subscribers,I want a cheeseburger,7.6M views,12 years ago,,,
7,iJustine,6.89M subscribers,🔥 Tiny Smores Challenge with Ro!,7.2M views,4 years ago,,,
8,iJustine,6.89M subscribers,The best iPhone App Ever!,7.2M views,13 years ago,,,
9,iJustine,6.89M subscribers,First in line for iPhone 6 - The Story | iJustine,7.1M views,6 years ago,,,
10,iJustine,6.89M subscribers,iPhone 3Gs Unboxing!,7M views,4 years ago,,,
11,iJustine,6.89M subscribers,Unboxing a SEALED iBook G3 with MKBHD!,7M views,3 years ago,,,
12,iJustine,6.89M subscribers,Gold iPhone 8 Plus Unboxing!,7M views,3 years ago,,,
13,iJustine,6.89M subscribers,Linus Tech Tips INSANE Studio Tour!,6.9M views,3 years ago,,,
14,iJustine,6.89M subscribers,iPhone 11 Unboxing!,6.9M views,1 year ago,,,
15,iJustine,6.89M subscribers,Mac Pro and Pro Display XDR Unboxing!,6.4M views,1 year ago,,,
16,iJustine,6.89M subscribers,iPhone X Unboxing!!!!!!,6.3M views,3 years ago,,,
17,iJustine,6.89M subscribers,Memoji in iOS 12!,6M views,3 years ago,,,
18,iJustine,6.89M subscribers,iPAD PRO UNBOXING!!! | iJustine,5.9M views,5 years ago,,,
19,iJustine,6.89M subscribers,Tiny Chicken Nugget Challenge with Ro!,5.9M views,4 years ago,,,
20,iJustine,6.89M subscribers,BEST and WORST MacBook Cases!!,5.7M views,2 years ago,,,
21,iJustine,6.89M subscribers,iPhone 7 Plus 256GB Jet Black Unboxing | iJustine,5.4M views,4 years ago,,,
22,iJustine,6.89M subscribers,I WANT A PIZZA!!! | iJustine,5.3M views,12 years ago,,,
23,iJustine,6.89M subscribers,NEW SERVER! 150TB server install with Linus!,5.3M views,3 years ago,,,
24,iJustine,6.89M subscribers,Putting doggy in things | iJustine,5.2M views,5 years ago,,,
25,iJustine,6.89M subscribers,Gold iPhone Xs Max Unboxing and review!,5M views,2 years ago,,,
26,iJustine,6.89M subscribers,iMac Pro 18-Core Unboxing!,4.9M views,3 years ago,,,
27,iJustine,6.89M subscribers,✨ Mystery Apple Goodie Bag!,4.9M views,4 years ago,,,
28,iJustine,6.89M subscribers,Apple Store Gingerbread House with Ro | Nerdy Nummies | iJustine,4.9M views,4 years ago,,,
29,iJustine,6.89M subscribers,Gold Apple Watch Series 4 - Unboxing and review!,4.8M views,2 years ago,,,
30,iJustine,6.89M subscribers,iPhone X and iPhone 8!,4.8M views,3 years ago,,,
31,iJustine,6.89M subscribers,Original 2007 iPhone Unboxing!!!,4.7M views,3 years ago,,,
32,iJustine,6.89M subscribers,🐷 Playing Pop the Pig with Ro!,4.7M views,4 years ago,,,
33,iJustine,6.89M subscribers,2020 iPhone SE Unboxing and First Impressions!,4.6M views,1 year ago,,,
